ZIP,CITY,SNOWZONE
88416,"Steinhausen a. d. Rottum, Gemeindeteil Steinhausen",1a
88416,"Steinhausen a. d. Rottum, Gemeindeteil Bellamont",1a
88436,"Eberhardzell, Gemeindeteil Füramoos",1a
88436,"Eberhardzell, Gemeindeteil Mühlhausen",1a
7389,Gertewitz,2
7389,Grobengereuth,2
7389,Quaschwitz,2
37308,Bernterode (bei Heilbad Heiligenstadt),2
37308,Bodenrode-Westhausen,2
37308,Geisleden,2
37308,Glasehausen,2
37308,Heilbad Heiligenstadt,2
37308,Heuthen,2
37308,Hohes Kreuz,2
37308,Krombach,2
37308,Reinholterode,2
37308,Steinbach,2
37318,Arenshausen,2
37318,Birkenfelde,2
37318,Freienhagen,2
37318,Hohengandern,2
37318,Kirchgandern,2
37318,Lenterode,2
37318,Lutter,2
37318,Marth,2
37318,Rohrberg,2
37318,Rustenfelde,2
37318,Schachtebich,2
37318,Steinheuterode,2
37318,Thalwenden,2
37318,Uder,2
96515,Sonneberg,2
98587,Bermbach,2
98749,Siegmundsburg,2
99310,Alkersleben,2
99310,Bösleben-Wüllersleben,2
99310,Osthausen-Wülfershausen,2
99310,Wipfratal,2
99762,Stempeda,2
99869,Ballstädt,2
99869,Bufleben,2
99869,Eschenbergen,2
99869,Friemar,2
99869,Grabsleben,2
99869,Hochheim,2
99869,Molschleben,2
99869,Pferdingsleben,2
99869,Tröchtelborn,2
99869,Tüttleben,2
99869,Warza,2
99869,Westhausen,2
99958,Tonna,2
99976,Anrode,2
99976,Dünwald,2
72469,"Meßstetten, Ortsteil Hossingen",2
72469,"Meßstetten, Ortsteil Oberdigisheim",2
72469,"Meßstetten, Ortsteil Tieringen",2
98634,Birx,2a
98634,Erbenhausen,2a
98634,Frankenheim/Rhön,2a
98634,Melpers,2a
7381,Moxa,3
7381,Paska,3
7381,Wernburg,3
7407,Rudolstadt,3
7907,Burgk,3
7907,Görkwitz,3
7907,Schleiz,3
36433,Moorgrund,3
98597,Heßles,3
99735,Petersdorf,3
99947,Mülverstedt,3
99947,Schönstedt,3
99947,Weberstedt,3