zip code(s),city name,part of the city,federal state,DC
39164,,,ST,15083
39167,,,ST,15083
39179,,,ST,15083
39326,,,ST,15083
39343,,,ST,15083
39345,,,ST,15083
39356,,,ST,15083
39359,,,ST,15083
39365,,,ST,15083
39393,,,ST,15083
39517,,,ST,15083
39638,,,ST,15083
39646,,,ST,15083
39264,Zerbst,Buhlendorf,ST,15082
39264,Zerbst,Deetz,ST,15082
39264,Zerbst,Dobritz,ST,15082
39264,Zerbst,Gehrden,ST,15082
39264,Zerbst,Grimme,ST,15082
39264,Zerbst,Lindau,ST,15082
39264,Zerbst,Moritz,ST,15082
39264,Zerbst,Nedlitz,ST,15082
39264,Zerbst,Polenzko,ST,15082
39264,Zerbst,Reuden-Anhalt,ST,15082
39264,Zerbst,Straguth,ST,15082
39264,Zerbst,Zernitz,ST,15082
38835,,,ST,15085
38836,,,ST,15085
38838,,,ST,15085
39249,Barby,Glinde,ST,15089
39221,B̦rdeland,Welsleben,ST,15089
39217-39218,,,ST,15089
06868,Coswig,Serno,ST,15091
06868,Coswig,Stackelitz,ST,15091